b_id,dorm_id,ssn,password,room_number
BED-656,DORM-27959439,$2b$12$wgf91XCfssopH97F3I4yyegdQSJqySAOvFv.7/vDzjk3az16Df0A.,$2b$12$KCZ0C3U3JeqeBQqeUsdQx.c0rPVNjbPbl7.vEPZfeKEHuIGzcgNP2,ROOM-14
BED-728,DORM-58452812,$2b$12$nDXfV/3GChRmsorZEkMeiewzlUvLk6CP8UhNKZE1G7kog8BMCV4X2,$2b$12$OHZTdfZ8Vkw9iWCwOm3Jle0DuzYMVoTZSDZ5qQQxL3jFKon4h1uTW,ROOM-89
BED-294,DORM-20371499,$2b$12$kkFIytbRcGKC48thb3B08OXVY1Vm1dC2atAPJdZIf7lq9nE.ug6PK,$2b$12$hz5fkz7KZzMaqxkrmUpvYufzwQgVfg9sirb5M7AInY/WVmnPOAbO6,ROOM-46
BED-997,DORM-11562870,$2b$12$96jSJCaP5Fk9nG6hHf9iC.nN.CxB.sTcPZ/JYuOEBhgLwFEKpuIba,$2b$12$r3IasLeokzTH0Zc4YgxCkOLsays49IEit8ltbBB27b84AYaAqGnXq,ROOM-48
BED-139,DORM-38758041,$2b$12$PdAsIem8U4BmnqF4S.9RhOi8BhKN8enr9y7GNnEsn7h5yBEZNNOI6,$2b$12$ij65PgCIhe0yCFm8FkQpke6A3okC6oN9RLUGBZR.ZpB0rtulEq0PC,ROOM-92
BED-712,DORM-146838454,$2b$12$CQlZ4rRZ1P9VuN83Q1/AUOcesxIwZbbwWNdB2sSxVwcXhtOGgoHla,$2b$12$8dEChUMCoPxoYclE5ygzJ.A6o0qNSydiAjLBsF3EQUlrdyDgnxYku,ROOM-36
BED-443,DORM-074482782,$2b$12$2NFh5mxqKMcfSTBXuyEjT.YDMoVRrBYTgZiKNg1qYM3.WHmSOO8dS,$2b$12$wLO8FhEkEkO0qT6sbP8Be.FPDvfDzWVh9sbjVn4AyC08NO3j3D0Ne,ROOM-32
BED-467,DORM-000960607,$2b$12$P9qpAajWuSRE9/D2bDMBleJYadNYbUUzhJ3S9kKWuQ4BDK52NZTea,$2b$12$aNN/QCi3zb.fJLzpvISoM.6svgV8UCeUbhMTf2QcO6olQ0R97MlRi,ROOM-17
BED-782,DORM-59180217,$2b$12$gpDe4RKlgKaomSkgyta54.S7CGvntx9IdyNbxPfgA3JeV1u1NsCkW,$2b$12$0/BvPhPAX/rKWaUVyv/V7Oi6iko7V.kAw3TtfbVlulOIFqYTdKdYq,ROOM-54
BED-249,DORM-982535764,$2b$12$R.nNmFpctMF0j5rt6MQihOjRYN4g8Xhv2V7RCeM3YSsuGVPhX9hYG,$2b$12$44CiTu9crRaDIRNgEHF7ZO/KYH8x0GBek2wW3DJWRua6ebUzi8WoG,ROOM-46
BED-736,DORM-98103433,$2b$12$8Ailwj26ZuLSiLw.pgmvfewV/OyhD6whimHpUw1Rq3dwjlXRrNpeq,$2b$12$RrHpRjQYJTQfxwFT3XJhdOvQKmNYgBAn0C5PY0WuS52U0/OLPNZZe,ROOM-23
BED-201,DORM-255184779,$2b$12$JNzIAUrkeMvLehytz54IdOFPmKfii4G7zXs/QvqBFZhsGwvrDHcii,$2b$12$MxsNItSksvqhtKcwUgY12umpvXmCboiLEDIJ3t/JmEnfh3qnkca9W,ROOM-41
BED-413,DORM-98714945,$2b$12$1ty2/dQ3la/9vkED5C0NnuUArxAlieZy6MiPQ4qsANbphbon6zCMC,$2b$12$ljIT1MWP2XMbkafm1697SuJ5A1uRO4Q0hHAynnOwtUSw9x30cwCe.,ROOM-47
BED-634,DORM-201072134,$2b$12$dDCHXvmJxvcqUqib/GvjFOVGCVEAjmXfor6d58UeNo6duFGcTVa1S,$2b$12$K26P3/D4qXKuezosuJQMU.cbGZU2RuR/ziprFezqXniA3.X48NcJa,ROOM-65
BED-441,DORM-25624203,$2b$12$zBlmcAh3khkSJrkLy27nO.GOLffJwY8br68AHqfYMy7fSAcEC1ouq,$2b$12$NpV784obAr6UYnBSLg98auKstuyLiizEf3cNE/nZHq8ddpTunLMxy,ROOM-81
BED-727,DORM-246903628,$2b$12$asi9OpQ2gmOBFfBn8xw8pe989K4UBewRRB7uySgZO1HnA9fErh3vC,$2b$12$Nn9AyfoYiJKC2dH..4WNhu0z.GwqIBzvJbEHTuYDjA/.IMVWFMKIq,ROOM-55
BED-780,DORM-325444927,$2b$12$sKrnKp5YDvYLrnm08GO9We4ULkU4eCs6tYZoMQXuT6xiYo.n07p26,$2b$12$pbnedkTP3mp2ZCutDeu3TuvXw.ZtSt2/0mpZnbVvuKihYFoBXpkIa,ROOM-14
BED-317,DORM-839821246,$2b$12$0AMMlXP1.akLFPFl88zQZeq.xxd9S0F.LcLKyWNwBEE2A.172B2pm,$2b$12$g.j.tOGr9jHTQ2IFsvrci.t.H7misDOjB1v6P.ukwhJ6qmBUEUjIm,ROOM-98
BED-806,DORM-034795631,$2b$12$H7zMg8sRopVmazw/iRyAmOyOEyN/LDoz/VbecYHBjksNAiNLcvY6m,$2b$12$h566JDjeLZ/VBB8OkEAjMOFmmIN6cnLhdue12EfTbxOdRgVhNeXl6,ROOM-11
BED-454,DORM-48482228,$2b$12$fbNum1ddB79TqVgF7pbXa.KKvQ0lkztDaZqoK4GRmQHgQdofpuX/e,$2b$12$Xrto3OX1SUD5LDWdpOy2e.qy8INYA/w.xRlPw9IYtjYCni6UkBupy,ROOM-18
BED-490,DORM-107204838,$2b$12$6waV92sJh3v3eKR7mZ7GiueyKLdCDWsa2sWKLSTNp.FmWzng4Dx0e,$2b$12$x4ovU4buTIF9y6z3JOhrre1iyUNw/ue5BwHGGGVjQEhDXiVZIPYea,ROOM-41
BED-329,DORM-854677976,$2b$12$bKLzSBS6tJ/vQXHx7rDGsuUdHabOKEWb3saugLrs8F4CKFkaO9B0i,$2b$12$t8nLZH1K.GaVALrwRYsIkO8tgdBHCV3ZHVaiuVtJMJ7RfeKj5eB.S,ROOM-32
BED-382,DORM-299584523,$2b$12$0UNLCKy5xqs4/q1UdpkGM.i2LBIFbnCoviTGVOYsFPv0NIzDJZof6,$2b$12$aqBsQspOvy6MpalEsoSiieTAxwdWNcVSNsipwuJhLaLlO2g.osLuS,ROOM-66
BED-330,DORM-649657178,$2b$12$.CGYfG1KaaX6utgxNCnNg.QeaYkOoAij1ntKeMJVTZ0exGbQHfO0W,$2b$12$R9mq1GhJzBXvfw0Shwi0DORdDav89Q70i2L83uKRSYNtWzQfXFzJu,ROOM-41
BED-389,DORM-854667883,$2b$12$aR59ZKLjgSCy8iD7BYHD3.Ki4RIt4o5syxRm5J8gG6UFBP73pC0D.,$2b$12$QWX7WCZ4OvGOUZ4dLPv/gemMFpe7OFpjFH8.ywul.wttR/5OQHxgm,ROOM-90
BED-825,DORM-306647580,$2b$12$uRzrDW0H3/G5lOuEL9klqehoW4KiXt9WpypFk5r0wqxfL0Ls6yE6C,$2b$12$Pf9F.UqLTfeCdTrAKu0SAeggRqiUeYw2KNfc4X6DX2b/TwXdWGJIi,ROOM-41
BED-256,DORM-62413091,$2b$12$J20WHbcrcLjkcjwBPNEa1.ycFN1tuFNzZtnm9nNENBYJYgeIuqdri,$2b$12$fvH.EG7hA371HEfIuIZGduvWi5WSxk0XFUp/xI2Lkt09vtcyjMWGm,ROOM-24
BED-123,DORM-202361494,$2b$12$cf4N75lqfFyPmEwxdhiRGOQuzMzDy9qNbJVdpy7GhvwFCWEL9K6iy,$2b$12$nR3JPKximkHDwtCWxuVueuAn04HphgMvPsyiifcuWEtPas5pQf8HK,ROOM-31
BED-170,DORM-39433116,$2b$12$BUFe.eyOCQooEjlFpMgk0eMnrP5g2RNvNkVXWmZIcKB7xohDIFev.,$2b$12$NWPa2Hcntx.yif3rgwGfYeE4OkAsyrFQFnV77D8o61j/Ot7Rjxz/2,ROOM-49
BED-168,DORM-768475059,$2b$12$.6RsnuHOZpaEpqpRUbpJYeeLk7oGQimKFKI1yMwrz8f4mQLJWVHzu,$2b$12$BLs8wswsDdNGF/WIZGLU.OVcEtbZxXwVG/FrzJFkoLfdbx19CAwAi,ROOM-39
BED-783,DORM-853290902,$2b$12$3xUTNDImZH0ATVn.gaM7.uJ31b3PObnvYH9Jik0AiyUojkAT2/0jO,$2b$12$4CdPTlpNWnSqiX/R7FVbte0h.LA.WBZqRrmnygOqAIJb4ypetMbxG,ROOM-78
BED-805,DORM-025564245,$2b$12$I2kQkRvdOXO2vcjWKcwOG.5iTciJbrSnW/YPvFf/zPZS2zwU/eEeW,$2b$12$sSwmPUGJiULa0oGuQS9Er.xHRrvIpkHQ/Own.jAVv0fyx9a8S4V7W,ROOM-34
BED-315,DORM-16639243,$2b$12$GyL060k6G3W2Z7SSO/z83eSNTop.SKnFbw3E6zj/9DcMTrciM2qNu,$2b$12$KrhUk4nrOoJYaV/7hskGNuL0wt4mBkaJYNd.OPaqMF7mKoHyPcqn2,ROOM-56
BED-471,DORM-941298792,$2b$12$s3bTPHJYBf.QUCWe97xVN.LqCQuWj2R2pl5371X6G6tvvD.4PVjzC,$2b$12$thRrvbckou1FLVULtrDJ.uQHkmdGy9HkizDBgSGgPuIliFW34yqW2,ROOM-53
BED-366,DORM-398639392,$2b$12$orvcXZslouKMS0hniLpbm.OmNi5J2xFNBx7Q2Sv6YJ7OfDlkYAnsS,$2b$12$t6XtU7f61Ag55p/K09k2/.A0aqUdaqyKJGH0msaEOezIc/AV5W97i,ROOM-62
BED-365,DORM-879681215,$2b$12$8W1Ay7/x/1Cb8tYdmIWbAuqLzyB9i3wo7FvhMPsPtRTHDyD14LOt2,$2b$12$GmVyQ49t21vRvNFH5Dfdf.HAyKURm1JSoV8hb5E44GVyG4WykOxvi,ROOM-68
BED-913,DORM-887806190,$2b$12$uvkWN8p7yOhFGGGNbcAwbeqRNjYae6VTF.DTipq7pqszCBw7aW.T.,$2b$12$rm.AmcFNPaQTyEapnUDQb.X76BvK.otfQWE/J3oOjGPmUPaZXggWa,ROOM-86
BED-762,DORM-844596547,$2b$12$y9xyaHa9J7v5TK2pcRJpiOqy6bNO2qG8U6atYdymsozAcw4gX3wdS,$2b$12$jrIjP3LbDS.Za5xhESgH8.KB0f4NwXrroYhGa/MljaLJ53cT2uCH6,ROOM-47
BED-458,DORM-257099070,$2b$12$qCEDC1eUra5CluocZpKYZeY5Y6RVESwOtNhJRX9LgBvyl3QaJDIH.,$2b$12$KfwbTRdWk9ICw/rPtir9eeYp/fBSq9uiCpcOxydEfTDkAC5zoEf0y,ROOM-74
BED-247,DORM-558536042,$2b$12$Gio641uPY4Demjiir.6ZEO./jwvAsU5GQj42m21R7YWbiHI7KlFne,$2b$12$ykyZkeSWHnCo4fLcCJFrz.MXtNMXatKtam9j2rtrPpOujS0HQbpc2,ROOM-80
BED-890,DORM-776636320,$2b$12$AzpG.zVy.B.AE07GhrhIdu9/GdT0E2LZWqmkTXHaxHhUELkY0h7SK,$2b$12$btXxq7TiYs.Pxz8Ad6mndegblqRspLqJhgcgP0b/bTs5N0a35bKiS,ROOM-95
BED-400,DORM-966106239,$2b$12$rSeh2P0/j71YnZHfeJvXAeQY8ZYgrz5tu9kTMcyEX3aOuhbHR9y1a,$2b$12$MQxfzygAxc.FaQys4YtHC.Tp1WBlYf6NXGpkUq1qwRCmyTuoT.Zn6,ROOM-88
BED-599,DORM-423182860,$2b$12$GyQrwqniwM2ve4w6L5RArugMo1EUK5sMAWwxtCVSTfR72vIQpgDXu,$2b$12$RxkBJ7T/YYCB6zXogBAb8OddGJdUHHIUAWTblyY0KqKNSoyq/oc2e,ROOM-96
BED-484,DORM-63079341,$2b$12$ieJ/lAPuUztOh.DHTTuOB.zi9f9QYZsHIcJUJ0yyFCQDVux6dnDNK,$2b$12$.Etok2OWx3tVpmY.OZak1udjLlApu8nzvUSec9IodY9Z5CjovJUDy,ROOM-30
BED-245,DORM-57446436,$2b$12$sgJGI2ucv6gmPxMlfj83quzMuFVVROgco1hxTx6WdT2e3yWMbD13q,$2b$12$SdhjrprxyE70RCHQRy8RiuBB4mr0ZpaNwwil.IUkl6QwE8M/UI2ki,ROOM-63
BED-941,DORM-33914208,$2b$12$gdHri..CFS2yNOcHF1Jmxu9LxMrEUK6Z4q1gokID1leym3q9d/2tu,$2b$12$0eVT/H7cdB5AYbpTGiXh3eKHm.YSLlu7XO.SYPFnlCDb4EyQMd2WC,ROOM-30
BED-784,DORM-58010977,$2b$12$OWCGls5YP2zUwvHztmR/.eRLR7/Qg2y4tEbK4rvc9bsiOIlHNuNEW,$2b$12$f3Hv0kS6PlzkEc1NrpCpBOsgXF0VGhG8V7W7MfSw.2J2R5udI9Kza,ROOM-94
BED-624,DORM-57367583,$2b$12$Sz1RwX6.0lN8GctjR9jC9OzUgmiD9ByHzr/Zefg5VOqzPZYTXRBvm,$2b$12$3XflR6Ue2ZkGJHI3tPQN.emFqe9W8XJ7H.TXxfvGX.ZD0/DBdvnMa,ROOM-50
BED-367,DORM-67474403,$2b$12$LzHZDB2pW4N4LUHOE6UX1uM2uMWiag8eCGSt9H1AdJNTgnGcRCASy,$2b$12$1c2jhpia8POQgOFFCw0ZZe1bGiPnAM0xF4dWbuZeJi.wst50/zKlq,ROOM-52
BED-142,DORM-55984862,$2b$12$rpIIAG9.8/UN805Yc9hMSePEBAtWvBRmhsgdGn.0T72y52C67qIoS,$2b$12$cCYvkr2338yYZQC6gJ2Y/.LUJrJawBwFdX069gr8KxV66A/GM3dFW,ROOM-91
BED-268,DORM-38208844,$2b$12$BDfeiC/ni8ANXSNmgLc7X.05FigkqO7RdW99cPoy7ZzjdKuuiz4oq,$2b$12$MYcfSMwzMD9cYLmMHfNzP.C9c5j.FNNn56S5x.rT9HJ921Ao5XfSe,ROOM-56
BED-810,DORM-77339508,$2b$12$5ohmuTzy0Nc1drumUtnntexWfHC3MvNZPlfxziBX9rM9I3xHm/jH.,$2b$12$QHuV535iwqnHNrJGAj2DoeUdud9.Rn8PulZGARhhwIl91ZL2/UXca,ROOM-18
BED-600,DORM-29029033,$2b$12$BcE0pVg0BGawkFKjQOmcGOyEZmK7wc6lL5bWJQj2QZuv8kFMWWBz.,$2b$12$O1zTlwlopoJS5akqs4SpjOBMUz27ut1ClIxYIxOZBh5FbolF2fXpW,ROOM-26
BED-829,DORM-27054181,$2b$12$maUwlk/YdL8mflf4bl0tb.b1A0x6ICQ3ji40XXMV53scSdIrAJrca,$2b$12$sm1DHSIQbcrww3d16toUvu1D59YXgqmP3rbEyUN6a3c/a.TVdH48m,ROOM-51
BED-822,DORM-41800514,$2b$12$sMZd3kc4fFDa/YbjR0MQOuFTts2X5MVfxSqcSXyEADMbuklFKp0da,$2b$12$7RGSrYYY7jmO20jp9eAHj.M346MMxZoU6yviOYfDzfLM8wF3/4YXC,ROOM-62
BED-323,DORM-47689981,$2b$12$/8FnXnDiZktmOCjJz2SoxuZHUXBZvJi68YANl9QFIVU8CEVbQG6gC,$2b$12$X81b7hj5UtBmykqDBB2iteh0w6vidNtQjLT5k5D7PaRBg5wDzHOOe,ROOM-21
BED-355,DORM-45799167,$2b$12$Va3wA6OBMy5t3hk/QWxckOcx8.Ugf6Wq55qf.4mh4d4sijwiLw6qm,$2b$12$iAGSBqioUVGMypqVVYQPg.Lhn/coqV40NP.XsTKvTMVyrUfv.5E4G,ROOM-59
BED-838,DORM-918302407,$2b$12$GWVbL1546ut57j.aFGRj3ewHSgGcqXKn1g0Xg/cdxfMdCEhQL2SjK,$2b$12$x4GfrfjIUVisZCHgrNq5iuLCPxsQajjRbLHMt15Nz.KION.ZVNJam,ROOM-18
BED-540,DORM-225956744,$2b$12$TCpwFxSGrNCYFDMu4LgofutC//86t5kKh8ACwkLyWkdLONXhZZgQ6,$2b$12$Kirrnyzrol.aK2MtrCuyAeZFylgTytrHjuT8fBIuJiOMP4xhjPhRi,ROOM-74
BED-390,DORM-705297065,$2b$12$PE91Qkedx2X4dh66djOSseUwlB04k/0cTvMhyuhwgNgrPZGmVLT/y,$2b$12$7YORHotfq/7KNZN89zdsG./7xuBe8rS85cY7YS/gOCOqmDwoYC2Eq,ROOM-83
BED-809,DORM-95452428,$2b$12$h7n.UCriMs91CVZkOeJFPuRpKW3I9Ui1Cn/0jplmAdhsZxl4x7Tnu,$2b$12$WAZ9Di/vr0tB80Snkxk0Yugki0BRunUmswYza4ofV3vhLyA7yuxNm,ROOM-44
BED-356,DORM-382916433,$2b$12$8zlojTXU4l6vxynU3UWubemhgAlEguoz1v1CDjbj./RV9A7PM.FEq,$2b$12$aNAcsUYQPeDOIfIvUP7iLeLtuHhfjQn6D6OHnl7lq03YMqzDIglGO,ROOM-78
BED-740,DORM-25285114,$2b$12$5ayUQSaF949V6JWZjZ7iluI/ThR/4Yijm.yz5HhhZtG1iinP5LGTG,$2b$12$tPYlY5/SEJ3jWffPENK1J.xpVmUxWaeJjQO1cCZ0D5UuSEK6NVOZi,ROOM-94
BED-897,DORM-861702890,$2b$12$m2OB2bz3YFzHH56eu3BahOWLR2r9fk.P9H3NA9yRtFt7yWf3sCS5O,$2b$12$lnOUiCsm1WIDvzMGNbOqruHzFUA7vadZ/mlxapjG0.VPoCZfa2j46,ROOM-67
BED-296,DORM-48297504,$2b$12$3MlDomuqAwA7qKQxQ3c1judQsrg8QKcH6Mky1qCDI1pOmbpsPoXcO,$2b$12$ajOp.veTeDJyhdP4LuSjH.giRr.taqXDs1yEVaHVg5hmGwtv2VP/S,ROOM-47
BED-327,DORM-51992528,$2b$12$.D8o3VIdn//rQsK6tlmVgOwnPpy2vQpJYkvwvP1V0SmKYGRX7wDue,$2b$12$2JkklKVBeNwdu8B45LoVBenImJCSBGlvNKju/dcY8hGSRlIZGJTFK,ROOM-82
BED-100,DORM-11459093,$2b$12$sLJ8l84ySgguFNh.K/Lr6uAaRdiPwR1h87l5R5gf4X2nVVYkU7qAq,$2b$12$5TgUTX9eNSHY5NWzUw1A5u3OHNdDpngqgkviwT6t.JfRbtyeQUga6,ROOM-46
BED-993,DORM-389622378,$2b$12$CkBymNAfsWFx7O64Vfymv.7mZ/ng.DfFr47yL4yFqLdV3GYwsRIBa,$2b$12$M2TATj8ZOLYOxBObnPVKXOEH.kmsSvuSie5WHGYaToz4N8wR6yr7.,ROOM-20
BED-813,DORM-16757489,$2b$12$UQP9hxfIMkLnbOudWtlcV.g8I3CoPRlJpnP.4eqsRMT/m.XP7KqRK,$2b$12$VG1zkljGmLDdrWnnRpnP0.e1LtwWISpCQvZmzvOSQtzfyDUGNGIWS,ROOM-32
BED-883,DORM-29930612,$2b$12$hXoLDBxn6pjj492bVd2eueA4dicMarmqOboSo010QT1VQfBhjuYcK,$2b$12$idTlnfL2Q6e/F9CCqmax5.72MnBBtFOyY/UtD.33REjKQEYTMyRza,ROOM-68
BED-528,DORM-77383062,$2b$12$43KvNo/TN0d3YRoEUsAIDOgKbI3z2D/Uaq0/3dLG.SU7TdU/rjV8G,$2b$12$wKqDlZJCceb1OrPmFgzgWeHv6jTGjjQXtKkHld00ZNVTm4HCBqxdO,ROOM-91
BED-858,DORM-37789823,$2b$12$xwoLJBSWWiiiLFPcJ0cVku65XAULsgMQ5I7or15WM17sKUiavaeou,$2b$12$eyZ.OYbe3bK3L/z06uZAaui4fWGifoX7VqYKH/ndnEKZm2Ic0cTnG,ROOM-62
BED-921,DORM-610096057,$2b$12$9nrbScRe4WWGQ5uUytpbMetS5oiJhNw0/3kPUXcAvbc.CyzTxB4AS,$2b$12$DJDkeFDCi00nTl9j1Kc3SeADu0sOHC6L0JbGPrWMkHaN0Ns4DEisC,ROOM-30
BED-265,DORM-355764887,$2b$12$wqWDBpnZK7H8QgJLlfN6uuvkAIQqakqSsHwedvOFHmnbDv.I7chK.,$2b$12$C34U0KDildBVVO7OeWSZMOe/nFEGnf15z2smlaWOfP8GAyFVxNPbO,ROOM-66
BED-181,DORM-77582532,$2b$12$3MAl8r7Bwr9.pQL4FCSobO9W5/iLbWUObyRPirUndOyCigBN2ZZ/G,$2b$12$8HdNs/dlsiskRinzVp8fXu0tKMWy0Xvfzn.keUzfQhDc0QsawRk6S,ROOM-39
BED-694,DORM-219957400,$2b$12$eAriWfWzMjAIeKK1.GM36.jknvrdEJEXThmCRqKifo4bA5UVdsVXm,$2b$12$vFLZnCVeY9FEUWo/Qv3QZOqXiyMze4ym.BoqoIcxEwETG3qekt6MK,ROOM-82
BED-761,DORM-30304530,$2b$12$fvfjYHA98pi9nv3PN38vFeT7CAnPQ7zCvAaG8Qv1prVwtmtvK6M/.,$2b$12$aZTU5kp4mSeDnjG09dH3ZuMOFK3/ve1jPRATRRXH/p40fbPtVt6sS,ROOM-18
BED-270,DORM-13389642,$2b$12$G7A3yUv2jghUP85NwIPXVOri6vxWxeAbLSbEopVZKYXkrisMxNt32,$2b$12$0UH6rWy5/tUYzISsgg8TGufgHD7/ZRjKFPfDlaF.A1NzF1HnNe.uS,ROOM-19
BED-739,DORM-83660418,$2b$12$BMA50UcCTGenITC4OUJV5ePaCIWeL/rHE2Bd7x9FUlDwD1osHHF4i,$2b$12$BUkKpu8g.45GlGM3rRCbHedT7tRG.flNxbOcGTaGpSW5FXKUQnugu,ROOM-99
BED-570,DORM-337327446,$2b$12$cMa41fIe1SLIB39I..8FwekS4bcAs.RvSWo4qP7NBpmki3wGXMuIa,$2b$12$2LYE4cRJyRTxq/A.4Gc8hezK81Fj2/ruM50p4dNJWQh/qlaG3aclG,ROOM-66
BED-486,DORM-98246152,$2b$12$FiQ7.zPrE/Ez7qHlnN9Egek1lGtDP4eDGK.4BeSWjYQPg5SbeX8Ua,$2b$12$FOgOiphr/WO2lpEceSF9QeOWJpmys.dNubY0QETu5ACf5anB/.TZG,ROOM-89
BED-691,DORM-98567836,$2b$12$MHriY./Na.P4XxPckB0ibu55eLm4Rup/ZEOALEBan8KvT8nhgIRci,$2b$12$m8T03f74NCHka9QfGmx4Fe/8hsAZu6EoLogns2VmEMTuqJSmkR3d2,ROOM-96
BED-147,DORM-447696558,$2b$12$exOCP/oVOt.ifyW5Nl/P7u/tayx7h.YXU9e/eaVhU752wDbHs6VGC,$2b$12$9AF4uYesp66i9riKWBSwe.obN8WAc1779ssOqbLnecUEMCCOxGToq,ROOM-71
BED-466,DORM-84105512,$2b$12$gfOh3mWxeHFpLcxR8AaTSePry2M8fbkCbOkjy3f7Ttfqsq1Ks3dFq,$2b$12$CIB7LOgXiozPfn8hZ.L5HOy5U7hQGp0aRsUfJo.d4frJgUnJsq5w2,ROOM-35
BED-902,DORM-330073581,$2b$12$nW.BozQPu8OWUiYYtAYSleziwcfZti.x85Pa02TwZJEYhhpS1mZb6,$2b$12$xfr.oK1BBQ31.GCoSZOV0eoJ5/Ssd9N6ZQxSHDsFI3QkRAyFL1Vb.,ROOM-45
BED-547,DORM-62451203,$2b$12$qhMhRQPk8smT8a0jF/dOceXSWG5F/FaAfDUsKyMn6PxbI6hjrUzHi,$2b$12$PCFP2lDwR0Zfsch9THj0oOllttCrbCyzilmpEC8fVc9g8tIX0voeq,ROOM-86
BED-418,DORM-60831440,$2b$12$0ml4yKlpWRa7XdmH9nBabOKvNI.fxp2i6XTLzm207LintJCvpQgp.,$2b$12$ptsEL3QNUZ2UfN74q45KBO0deVqNhZPu1xNyg9Pms3bSOTDxu5m.a,ROOM-76
BED-108,DORM-981102868,$2b$12$PTrO/YiYXIypqlL5dy0Apec8LuTQIPaZKZ450ze..IvXw7glGGluW,$2b$12$jkm8dv4ZjVUhJSnzsD3kxOs86i5ElUx3dIKUje3k9Tu4clT4f5/eu,ROOM-86
BED-160,DORM-912171736,$2b$12$I9h6l0PXjrNerA2ij7XlIeuL7Hcy7gXiRYyayeRWXVpnCM6E5AtqG,$2b$12$W1B1K7xnLZQ9FJXVCJ1ffuR.ZwzEtTAWt86P3efZTyG.heLtv7EAy,ROOM-43
BED-157,DORM-61407845,$2b$12$YfbiZ81WihqP7iAyy6FTfeAgX2cKW8ps5PVTg/.far9GtZPehLLXG,$2b$12$gmYfQeOB3hOWOoIjDH9Qv.ld1kRoRXI50LDdlVhofs/AR97SV/Uci,ROOM-67
