bId,dormId,ssn,roomNumber
BED070,DORM01,$2b$12$zknXnQlGOXF.WTfD1Gfdd.5Xgx6/yaYU/OEtreNi2jYOFNiepss7G,RM021
BED071,DORM02,$2b$12$8h.3VaiikH4xPtG848/QuuZY0YW5W41bAblQNTlQjcBqAdJ9uS2Fi,RM022
BED072,DORM03,$2b$12$3mnYN86eT8i0hJaxyvmOEef2tKHclL0HjKJcZisb64Do6.jfZO1E2,RM023
BED073,DORM04,$2b$12$etpooNgfvEQpcPOMVpx99OTvwAKCMq71GyPcMlV4Fi8PxlmvzbVam,RM024
BED074,DORM05,$2b$12$O5M2hXXypQC7x14ZBxljy..W869rvzcdAzD.V1yd.M2pfxttBjny.,RM025
BED075,DORM06,$2b$12$Qwx6qnVMz7Nc4bgbhYoUoeHSsjWdjWq.0EIEF5.1MYctowz6RhfmS,RM026
BED076,DORM07,$2b$12$lSzwhlrO7fbPFpr.qfkI4uizjXWfvU72QNmPZfYprWNMLyBng5h8S,RM027
BED077,DORM08,$2b$12$lZGO6.JKDVO.OMHch13pOOZRSfJ7HpWtrMEOTkvDuuDwn/MTgwPrC,RM028
BED078,DORM09,$2b$12$cpBEn.fnd2pgblTiqkPXquPfacnOqWlrb.21idu35M8gyjkZ0W.72,RM029
BED079,DORM10,$2b$12$guaPxkWI6Iv.feytpbxFLeGMolEoeUX1tkFXbAniWmLLExyiPfwai,RM030
BED080,DORM01,$2b$12$p49GgJnP6Wsg7cPFSizKKum8jwyYiAJbzY2sV9wIB.HwkhyHicKsi,RM031
BED081,DORM02,$2b$12$fSl96gb/4Es0H5m8J20Nz.belYpSx1mn/ekl2my56DPH1eW1dpu8G,RM032
BED082,DORM03,$2b$12$ZFIMbx3ZMjO2aUtjyOMImu.gD5wghQCw2UCPfhx62mYXqvRYRMnB2,RM033
BED083,DORM04,$2b$12$9qbsCuPFIu0mtk1vv5NX8OAJjW2m.34CWo..8GaTwBhhGYuF9XIiS,RM034
BED084,DORM05,$2b$12$LxgZpbR.fR9yJ4ZbvP1UceVFH8sRsPXICXcuweMZWHLF7YUWQ.86u,RM035
BED085,DORM06,$2b$12$U4z.KMm77jQzU/6yUJH8oOai8R6i9D5a1XRiBzFhDcgRQGaT/1o.m,RM036
BED086,DORM07,$2b$12$lH1fWk/lfjb.1xjhGFIbzO4eYE8gnNWIRig7ANAVpqDFEA5vRBZ.m,RM037
BED087,DORM08,$2b$12$xRg4HVY4USqdXdOjy6zZKexHMCgEijoVklF9SNapbnFZ4nYRvqAN6,RM038
BED088,DORM09,$2b$12$7oGChSvMi9gCdMQdKhK84u3WAyzYsbJA34O4jO85dQ04dbpdkF7Vy,RM039
BED089,DORM10,$2b$12$pyWC56m2kr86PaEWxWjhnOTPsclFZx7iKItlwrhabFBcQ9C3na8VC,RM040
BED090,DORM01,$2b$12$yeTx2WYifhhVKOXXmfsq0.EAUQ9RMoTY7Zqe58Y3z0OfiyjGLbSWq,RM041
BED091,DORM02,$2b$12$v.jd4.NIA3v5ycopiCdLieVqGwS//yi9KR5XXEG2VhuvNNPk2J2gK,RM042
BED092,DORM03,$2b$12$J3JISz8HyLyF5gDjGu3YdO0oF/hu88FlBv8s2pYZHEvpybhHvBSOa,RM043
BED093,DORM04,$2b$12$JPWt3KlxkEjl7w0xCFWjsOZYynoG.Z2LziTH/vbPayZUY5ym.WBay,RM044
BED094,DORM05,$2b$12$3fzegntVpPQjQNGrZjbiYesP3BFVABjqqrgYUnoUU09hUWKWRMRAG,RM045
BED095,DORM06,$2b$12$mkkmg9AieE4cAJl92Lr8hO64NT8u1a7akO5WYo99A0m.wJP7ykHgy,RM046
BED096,DORM07,$2b$12$iKhDv.WkRvUsxlk6qSLi6eDcIujhis893FQB5N/XkfOQCb0GnCqzW,RM047
BED097,DORM08,$2b$12$zCO8bYR/YXsKRHtn2xuvDeAZ.tK5VwpBtQOLfAvcj0mPeUTqqVv66,RM048
BED098,DORM09,$2b$12$CR6et3YX/TEEYrYx3Uc6EuxX2TT.pq8YpBus3TGt9SqNtJKQpkUR6,RM049
BED099,DORM10,$2b$12$p69nZa6LhxwUJBkeXmVBH.nYaXernUMdozC6Q9wer42GZ/CXgYeyS,RM050
BED100,DORM01,$2b$12$4/WpnlUeldXl/3d5EKPCr.xdj.G5bR1.rMKk9j3JEn1UxmdW3l4q2,RM001
