ssn,bId,moveInDate,moveOutDate
$2b$12$MYO8lIcbObHF3MruSpHt9OWvL3vp3z6XwqIqV4GQ1RqmDCV.bHX56,BED036,2022-09-26,2023-06-28
$2b$12$jRwAnKhJAKlBDWxzg88El.EKZFy0utiXC.f0v3vUqom4ABBSN628a,BED037,2022-02-12,2023-04-06
$2b$12$RbIZN72KtcttTtTDuEClp.SwFGpyYid5M8aesD4Fa4AKYteFNGR5m,BED038,2022-11-22,2023-10-21
$2b$12$.6NtwJ.FIGnPS81mAUC4eujcHDF7.F6eP2lgTgWD5I33DwAv/lKfO,BED039,2022-07-16,2023-11-09
$2b$12$Vy6wstdPuTJVDS0H5d02s.pdyAJzMS6aM5YtqEOgIa1zxciV0H7UW,BED040,2022-08-25,2023-12-29
$2b$12$dTLYxGwh5656udDUG40apOKqxsh/HnL3Kbb.wcG1bdy/SzHVOsQEu,BED041,2022-09-22,2023-02-22
$2b$12$9.pgutYLfKhUA2DlYYdBeuj2IG2cObAbOnGHctAzpYVzERBysgxQi,BED042,2022-01-14,2024-05-23
$2b$12$DOkAFBjZsUAvf3clTt2MZ.bV2rMb3SsExRl9MAHS1/PN2i7T3X8DK,BED043,2022-05-02,2023-06-06
$2b$12$RtTsnL45TDV2nRjbb5Mo4.ogwTZbMMAzUGX/54rhLMk3cC9qC2osG,BED044,2022-09-24,2024-08-10
$2b$12$4OWVhDwMGXHfp3xjE93L7eaIZ3UU/0lCTt3hWM8rpud6NQT/3ZfSW,BED045,2022-04-17,2023-12-14
$2b$12$ZESnMsftsI2KoGb.z6rG/OhD6ZnPvBfGqFv5yJt44N58PVgvHSmGS,BED046,2023-01-01,2024-02-02
$2b$12$/xx3AseJ9X6SI1FQrAS8fewqiOVrDwYfolHq/2MHkarHLXeirg3Hm,BED047,2022-06-02,2023-02-02
$2b$12$9XJ/UA16zfxHgxTxsHaV4uBYy6SQDt7AiZN2fGIuIKy06t.yHz6d6,BED048,2022-10-27,2023-06-04
$2b$12$h9KElpK./2LN1USyDQB.1u8OIIJw3U8Y28CAimJwPRjC1YHczXfDq,BED049,2022-06-13,2024-07-20
$2b$12$uSRo29vh4weWVzM8ZuZNdO7a56M40gzNUj8SQgr5fJvPVZymvyXIa,BED050,2022-05-14,2023-06-28
$2b$12$RYlpuGbBYs8XQJW4oOKxu.zQBvBTLhaZuXQ9EB.UWLDFy3lj4eeoe,BED051,2022-05-27,2024-01-06
$2b$12$lbS91Ew7r27UE2ADqg20f.9UbNA8hOyC6j..0CxA2LcZXDhgTxnTm,BED052,2022-05-31,2024-12-31
$2b$12$1piDaQ1tYNxgLx9fOw64C.FsA1mEmCrZz5M0bfQ8OJaq1Z31vNsOy,BED053,2022-01-30,2023-10-25
$2b$12$xw1Pg04dHKFZzNE/LphypePnyYtIoRmydKzUl02yqWDzcFHyA5n0G,BED054,2022-08-19,2024-11-25
$2b$12$J8GXKfLTMcp53EEcAcc1M.PjPBmhNdx2FYTrHj7VSUhchWZeYofO2,BED055,2022-11-11,2023-10-10
$2b$12$Q/zdSvso5yeqiT5pn2u7a.K.WQ4sgx0ceeCY9op7V3h/olqu0SwO.,BED056,2022-01-20,2023-02-01
$2b$12$oBUZwl5XXIrgOIpxhEYgf.08g970xASPTcvhacxDyhRsgZmxCdC6W,BED057,2022-12-17,2024-11-06
$2b$12$O3/FX5ka0Jia0evHMbVhw.ovbqsvdNBmunXTIEMAeVfLHC5jI9YiG,BED058,2022-05-15,2023-06-04
$2b$12$dec.AY8a6RK1sqgQZGC.R.UnRodyIq1R6H5aZzEm5fR9zirEwzF1K,BED059,2022-06-26,2024-11-07
$2b$12$hCwoNBO1RBnoOcHwZBimLeIEkVrCEKE4XDscNbl7a7f8vc.t/qGLe,BED060,2022-04-05,2023-12-10
$2b$12$y0zNOZx2fcTVAGD9QTglguUJHkagbHfUVxTDflRbfhI/ECdJb1NQu,BED061,2022-06-02,2023-08-30
$2b$12$iTqxrq3FhLDiKe4rBm0BdehL/B3m39rjSnxb4iryvj5F/mog0KVs6,BED062,2022-04-07,2024-08-23
$2b$12$rvwVoL4n1ytAkDUj3NDYCOLCvm.xMAin9jSqtFjhQRMrld/m72a2i,BED063,2022-12-11,2024-03-24
$2b$12$Pha7wSW7qv2QZKmkDOEcD.c5cvMSABB6BvUntIRq2ncJDSBA5lGsm,BED064,2022-03-04,2024-11-15
$2b$12$h5QBxh8DYg8PN0hmgAMQsOi7kWivsun.Nq9d.QLbrRt9jDX.GpGEy,BED065,2022-07-16,2023-12-09
$2b$12$b.KqpqAsaOhtYd/k87rE1eKtdhMUbvFnLYMnG96QKyn.ketB0jW2y,BED066,2022-02-24,2024-04-01
$2b$12$kkBc3ZW3jlYWATC3MWRaC.G32i5EYvXpfr2mCFZcuCL.n2UHHO7q.,BED067,2022-12-14,2024-06-25
$2b$12$cwL5bT4Zm7.BdDQ7fxc6WezHEACynAQ8ZoyueJ93FgG0IUq33527.,BED068,2022-01-23,2024-01-11
$2b$12$aFsYH./Px3.o35CV7qokLOIyhgxxlZ/uxGpQ49zvJPzF3DiMvoFPq,BED069,2022-02-15,2024-06-29
$2b$12$hr0sGubcf7P/gz29GB1D4e5D.cWgRAAblppOLTIK7SCknGztGM9CW,BED070,2022-07-06,2024-01-19
$2b$12$9AT09BZhSe03.tsHU5Gfq.JvKZwXbCt0F6BqJaGxVaZGW2/BgcvIm,BED071,2022-04-25,2024-06-09
$2b$12$d7Uv2WOFRDjFxl88HorTGumrBQThbtOjfwX5tnyVrwd4JJ8r8mAj6,BED072,2022-08-20,2024-04-14
$2b$12$PyEKSpUlW2Zq6vwI3E26o.PCIzFtim6NiSdyLTwBqzMnLeWl2veoa,BED073,2022-01-09,2024-04-23
$2b$12$YPk0VGNVkdN575b0PNxDy.iGGivWeGoljPfPJ8VCWA3dZh04g3kgC,BED074,2022-04-18,2024-10-23
$2b$12$7.zrr5rkOYjcgcpfNPdHW.EcN4H.fDPMdr1y1xxd0eaRvUD5gREV2,BED075,2022-05-08,2024-05-03
$2b$12$3DVnb14nh.R52MEXJwyLTOHgBIqOiBzLikD1zGZQ/L7Df0861Ziam,BED076,2022-05-18,2024-11-10
$2b$12$.Ja23VA5NWBg6p2hOTsqpuIk38mU4EHON7L4GhdUSDynbHneK/A8C,BED077,2022-05-11,2024-02-11
$2b$12$w47sKlnmKsM2j/N.NcLiq.afBn9P9KeKHQYPMANsmRZQSUj30YPm.,BED078,2022-10-06,2023-06-20
$2b$12$ds3r6puUnLYfLHkEpzJw6.Jy/lpaKB5LnShTG4Dbk63TBG.sJVcNW,BED079,2022-10-10,2024-11-19
$2b$12$nUUNoFA1nzeoPnnU3h1BsuGm2sq/o0/g3/S8YNKZVISML/vN/Ih4m,BED080,2022-10-08,2023-08-22
$2b$12$7FZ6BgzOc.GKZbXOmNKq7.dkRgMdKkCwq9K..fJo3y7cEO8JYZzJi,BED081,2022-05-28,2024-07-20
$2b$12$gWVUtU3CWEOOHOq/ONa6FOjDYUhVqObVjxTsVFcO.ExEomLgL7eGy,BED082,2022-06-02,2024-03-03
$2b$12$Zy8H6Qd7VWil36fIYngSquHIQdCDVqf7wYC2Lat6knP3k1BpICurC,BED083,2022-07-18,2024-05-11
$2b$12$OaMk2/wH2Y6nWdyduzuPZuMl686jw3PhjjvOBNHmH1jKlMH6tuYTG,BED084,2022-07-25,2024-05-09
$2b$12$inMq3cWfed0uMt3SK//30u8cyjVgIX/k17vRVQQ/ky9ynNT5gqXCq,BED085,2022-09-08,2024-10-05
$2b$12$ABfe8Zqm1lLMXUFpuFmVUuXaecClH45cjAfJ2/6hYnKfOxlb8RrPO,BED086,2022-04-06,2024-02-22
$2b$12$xZpUnONB1jYRh5s1lBhaPezeR7rEhKPVk/asdnVHlqQkWMfzNIxiu,BED087,2022-01-22,2023-02-03
$2b$12$1sBU/q/hFGfNcUlnLBmjruxDXEifEnSNEx1KjNjEDcL.QNya0JLRK,BED088,2022-01-06,2024-03-27
$2b$12$C7/EnP/Qi8l2wZ5oukILUOzVAY3Fc891V.mHSxcapBXBNjEBP3JBK,BED089,2022-09-27,2023-04-15
$2b$12$2jNzetiEKwgSZmmNgU13cejIQAZhYdLPLq7epeuVzQb2IOhcAsymG,BED090,2022-10-27,2023-03-26
$2b$12$s6mE9YPWuA6UCqQTUFwxgu18FNuBIBsOdArIMwj0Cb5HqJVlezsOe,BED091,2022-03-20,2023-12-24
$2b$12$d89WIKVp.yGht9BXTFb/i.Or.KLSVIkI/6.HLcbHlUU3bj9DiYS86,BED092,2022-01-27,2024-08-14
$2b$12$TnNHdUrFqXH1d2AepDWQuOWq4HR3opko8un3TIzclF/1FyoaxhfFq,BED093,2022-12-15,2024-10-10
$2b$12$YmnDuuIDMmSddWR8fO4Cg.xMMID8B3j7jZeRUuKjyFZJULF/M2Ta.,BED094,2022-07-29,2023-07-14
$2b$12$Kp/Ikg.vikF3Hwl1bkP7EeOO1aIHqDyHqbv67NbjkfJUs27nDGaXK,BED095,2022-08-21,2024-01-27
$2b$12$QJTcp9/s33BEE0H.2A4Cqu3Uhtq//ONHlOMWrRrHNOAx2/IKh9REe,BED096,2022-03-16,2024-03-16
$2b$12$9DVuV6zBatRr3tNiS8mizOoGvXQGuoacvUZv9LtlVa6a.GArWi9HO,BED097,2022-08-08,2023-06-01
$2b$12$VA38C/1FVNd9dGYYY5zS4OPs9Vip412ogC0icVgt0vzk1Gr//eyIC,BED098,2022-12-24,2023-05-26
$2b$12$rC.4ic7pOqaJ/2HiJ6ZtnuEP4mS613uLahrm0Vndlb0FIJDH2MntW,BED099,2022-05-05,2023-08-08
$2b$12$EcNY1UeoMCT/zhHJgaQ1M.L/7Y/k7BjnGBhkET2c1cDAuDzejBvwu,BED100,2022-09-14,2024-05-20
